Time Stamp,Inlet Number,P (mbars),T0 (degC),T1 (degC),T2 (degC),T5 (degC),Tgas(degC),CO2 (ppm),H2O (ppm),N2O (ppm),Battery Charge (V),Power Input (mV),Current (mA),SOC (%),TEC Sink Temp (degC),Wall Code
11/06/2025 09:41:31.763,1,139.949,21.7605,23.9457,16.5722,20.3468,21.7605,531.312,8507.74,0.368262,11849,14912,9,100,15.840,1023
11/06/2025 09:41:32.756,1,139.941,21.8158,23.9991,16.5752,20.4348,21.8158,533.702,8309.75,0.368354,11849,14912,0,100,15.832,1023
11/06/2025 09:41:33.749,1,139.931,21.8719,23.9838,16.5768,20.4445,21.8719,537.672,8120.27,0.36873,11849,14912,8,100,15.822,1023
11/06/2025 09:41:34.743,1,139.967,21.9273,24.0363,16.5768,20.5032,21.9273,541.149,7916.62,0.369553,11849,14912,0,100,15.814,1023
11/06/2025 09:41:35.736,1,139.953,21.9833,24.0899,16.5784,20.5423,21.9833,544.391,7687.26,0.370284,11851,14912,11,100,15.805,1023
11/06/2025 09:41:36.729,1,139.944,22.0382,24.1368,16.5787,20.6204,22.0382,548.585,7514.26,0.371077,11849,14848,0,100,15.797,1023
11/06/2025 09:41:37.723,1,139.964,22.0233,24.138,16.5787,20.64,22.0233,553.213,7350.15,0.37148,11849,14912,0,100,15.787,1023
11/06/2025 09:41:38.716,1,139.953,22.0791,24.1905,16.5801,20.6595,22.0791,557.015,7178.57,0.372159,11849,14848,14,100,15.778,1023
11/06/2025 09:41:39.709,1,139.979,22.1343,24.2429,16.581,20.7377,22.1343,559.945,7030.72,0.372792,11851,14848,0,100,15.770,1023
11/06/2025 09:41:40.702,1,139.966,22.179,24.2956,16.5812,20.7474,22.179,563.068,6954.75,0.373861,11850,14976,11,100,15.761,1023
11/06/2025 09:41:41.696,1,139.969,22.1938,24.3478,16.5822,20.8354,22.1938,566.295,6862.56,0.37477,11849,14976,11,100,15.753,1023
11/06/2025 09:41:42.689,1,139.97,22.2486,24.4003,16.5832,20.8549,22.2486,569.906,6816.7,0.375963,11849,14976,11,100,15.744,1023
11/06/2025 09:41:43.682,1,139.957,22.3039,24.403,16.5826,20.9331,22.3039,572.241,6782.26,0.377318,11849,14848,13,100,15.737,1023
11/06/2025 09:41:44.675,1,139.982,22.3079,24.4341,16.5845,20.9624,22.3079,571.279,6746.48,0.378174,11850,14912,0,100,15.728,1023
11/06/2025 09:41:45.669,1,139.966,22.3408,24.486,16.5851,21.0308,22.3408,569.051,6742.69,0.378942,11849,14912,14,100,15.721,1023
11/06/2025 09:41:46.662,1,139.97,22.3949,24.5378,16.5851,21.0405,22.3949,565.58,6759.88,0.380026,11851,14912,0,100,15.712,1023
11/06/2025 09:41:47.655,1,139.992,22.4495,24.5402,16.5863,21.1285,22.4495,562.416,6813.63,0.380929,11849,14912,15,100,15.712,1023
11/06/2025 09:41:48.649,1,139.995,22.5034,24.5705,16.5857,21.1773,22.5034,558.632,6845.68,0.381365,11849,14912,14,100,15.705,1023
11/06/2025 09:41:49.642,1,139.976,22.5575,24.6221,16.587,21.2262,22.5575,557.163,6956.33,0.382646,11850,14912,15,100,15.698,1023
11/06/2025 09:41:50.635,1,139.987,22.5899,24.6739,16.5878,21.2848,22.5899,555.573,7053.21,0.383532,11850,14848,13,100,15.690,1023
11/06/2025 09:41:51.628,1,139.981,22.5933,24.7247,16.5887,21.3239,22.5933,553.983,7132.75,0.384578,11849,14912,0,100,15.682,1023
11/06/2025 09:41:52.622,1,139.97,22.6473,24.7756,16.5878,21.3923,22.6473,552.38,7215.04,0.38506,11849,14912,9,100,15.674,1023
11/06/2025 09:41:53.615,1,139.99,22.7014,24.8267,16.5872,21.4216,22.7014,550.878,7306.96,0.385361,11850,14848,0,100,15.666,1023
11/06/2025 09:41:54.608,1,139.978,22.7267,24.8075,16.5875,21.5193,22.7267,549.533,7379.18,0.385396,11849,14848,14,100,15.658,1023
11/06/2025 09:41:55.602,1,139.978,22.7369,24.8586,16.5856,21.5291,22.7369,548.088,7421.61,0.384926,11849,14912,12,100,15.651,1023
11/06/2025 09:41:56.595,1,139.981,22.7905,24.909,16.5862,21.6072,22.7905,546.293,7444.66,0.384072,11850,14848,0,100,15.644,1023
11/06/2025 09:41:57.588,1,139.961,22.8433,24.96,16.5842,21.6268,22.8433,545.014,7464.81,0.383778,11849,14848,9,100,15.635,1023
11/06/2025 09:41:58.581,1,140.004,22.8967,24.9709,16.5843,21.7049,22.8967,543.696,7468.12,0.38332,11851,14912,0,100,15.628,1023
11/06/2025 09:41:59.575,1,139.992,22.9495,25.017,16.5873,21.7147,22.9495,542.402,7445.93,0.382588,11850,14848,10,100,15.622,1023
11/06/2025 09:42:00.568,1,139.987,23.0024,25.0665,16.5876,21.7342,23.0024,540.969,7414.69,0.382132,11849,14912,9,100,15.614,1023
11/06/2025 09:42:01.561,1,139.992,23.0152,25.1176,16.5886,21.8124,23.0152,539.373,7391.6,0.381006,11849,14912,9,100,15.606,1023
11/06/2025 09:42:02.555,1,139.981,23.0574,25.1672,16.5904,21.8515,23.0574,538.137,7356.71,0.380175,11850,14848,15,100,15.600,1023
11/06/2025 09:42:03.548,1,139.993,23.1105,25.2173,16.5895,21.9101,23.1105,536.427,7284.1,0.379292,11849,14976,0,100,15.592,1023
11/06/2025 09:42:04.541,1,139.988,23.148,25.232,16.5897,21.9492,23.148,534.684,7223.08,0.378054,11849,14912,18,100,15.586,1023
11/06/2025 09:42:05.534,1,139.986,23.1409,25.2469,16.592,22.0078,23.1409,533.65,7148.71,0.376997,11849,14848,0,100,15.578,1023
11/06/2025 09:42:06.528,1,139.991,23.1937,25.2966,16.59,22.086,23.1937,533.031,7076.9,0.376181,11849,14912,15,100,15.569,1023
11/06/2025 09:42:07.521,1,139.996,23.2462,25.3458,16.5917,22.1055,23.2462,531.662,6992.3,0.375131,11850,14912,0,100,15.569,1023
11/06/2025 09:42:08.514,1,139.963,23.2916,25.3957,16.5925,22.1641,23.2916,532.272,6945.01,0.374788,11849,14912,12,100,15.563,1023
11/06/2025 09:42:09.507,1,140,23.2768,25.4449,16.5928,22.2032,23.2768,531.557,6867.2,0.373764,11849,14848,19,100,15.556,1023
11/06/2025 09:42:10.501,1,139.977,23.3293,25.4946,16.5953,22.3009,23.3293,531.857,6841.64,0.372644,11850,14976,13,100,15.549,1023
11/06/2025 09:42:11.494,1,139.981,23.3815,25.5014,16.5954,22.3302,23.3815,532.119,6790.3,0.371513,11849,14848,0,100,15.540,1023
11/06/2025 09:42:12.487,1,139.989,23.4334,25.5217,16.5991,22.3986,23.4334,532.243,6730.67,0.370716,11849,14912,10,100,15.533,1023
11/06/2025 09:42:13.481,1,139.985,23.485,25.5706,16.5999,22.4182,23.485,532.404,6701.71,0.369666,11849,14912,0,100,15.527,1023
11/06/2025 09:42:14.474,1,139.979,23.5375,25.6196,16.6036,22.4963,23.5375,532.448,6666.91,0.368394,11849,14848,15,100,15.520,1023
11/06/2025 09:42:15.467,1,140,23.5595,25.5792,16.6027,22.5452,23.5595,531.91,6612.33,0.367444,11849,14912,0,100,15.513,1023
11/06/2025 09:42:16.460,1,139.973,23.5667,25.4947,16.6045,22.594,23.5667,531.848,6571.19,0.366829,11850,14912,15,100,15.506,1023
11/06/2025 09:42:17.454,1,139.996,23.6175,25.5434,16.6086,22.6527,23.6175,530.801,6539.96,0.366072,11849,14848,0,100,15.500,1023
11/06/2025 09:42:18.447,1,139.992,23.6696,25.5924,16.6076,22.6917,23.6696,532.099,6520.34,0.365951,11849,14976,10,100,15.493,1023
11/06/2025 09:42:19.440,1,140.002,23.7098,25.6405,16.6109,22.7504,23.7098,532.829,6455.45,0.366486,11849,14848,0,100,15.487,1023
11/06/2025 09:42:20.434,1,140.003,23.7202,25.6898,16.6101,22.7895,23.7202,532.098,6371.74,0.366499,11849,14912,15,100,15.480,1023
11/06/2025 09:42:21.427,1,139.988,23.7713,25.7381,16.6115,22.8481,23.7713,531.964,6318.02,0.366599,11849,14912,15,100,15.474,1023
