Time Stamp,Inlet Number,P (mbars),T0 (degC),T1 (degC),T2 (degC),T5 (degC),Tgas(degC),Laser PID Readout,Det PID Readout,win0Fit0,win0Fit1,win0Fit2,win0Fit3,win0Fit4,win0Fit5,win0Fit6,win0Fit7,win0Fit8,win0Fit9,win1Fit0,win1Fit1,win1Fit2,win1Fit3,win1Fit4,win1Fit5,win1Fit6,win1Fit7,win1Fit8,win1Fit9,Det Bkgd,Ramp Ampl,Init Win0 Chi2,Final Win0 Chi2,Init Win1 Chi2,Final Win1 Chi2,Ref Pos,CO2 (ppm)-Wet,CO2 (ppm),H2O (ppm),N2O (ppm)-Wet,N2O (ppm),Battery Charge (V),Power Input (mV),Current (mA),SOC (%),Battery T (degC),FET T (degC),TEC Temp (degC),TEC Sink Temp (degC),TEC Power (W),Wall Code
10/30/2025 09:41:39.663,1,140.002,21.5585,23.7954,16.4738,20.0537,21.5585,108618,26539,-3.01885,0.0360635,-5.6153e-05,4.04363e-08,0.0726924,-2.72465,1.02692,0.0218737,-1.76266,0.913913,-15.245,0.120231,-0.000246548,1.81287e-07,0.0562576,-1.73939,0.829784,0.312602,-2.42118,0.927647,2.57394,5.40191,152.971,0.0018947,109.704,0.000332386,550,538.016,544.766,10141.6,0.366605,0.371209,11818,15040,0,100,17.05,18.65,23.314,15.450,9.620,1023
10/30/2025 09:41:40.657,1,139.996,21.6141,23.6441,16.476,20.0733,21.6141,108669,26812,-3.02939,0.0361667,-5.64901e-05,4.07885e-08,0.0728063,-2.66825,1.02692,0.0218115,-1.71261,0.913913,-14.3172,0.113383,-0.000229732,1.67538e-07,0.0564327,-1.70849,0.829784,0.313201,-2.40422,0.927647,2.57392,5.40096,0.00242334,0.00193881,0.000375869,0.00033442,550,538.692,545.465,10160.8,0.365658,0.370257,11820,15104,17,100,17.05,18.75,23.355,15.438,9.621,1023
10/30/2025 09:41:41.650,1,139.998,21.607,23.6975,16.4778,20.1514,21.607,108644,27098,-3.05132,0.0363832,-5.71822e-05,4.15167e-08,0.0728292,-2.69955,1.02692,0.0217521,-1.73874,0.913913,-13.5812,0.107962,-0.000216435,1.56683e-07,0.0564563,-1.73838,0.829784,0.312214,-2.45544,0.927647,2.57386,5.40109,0.00212194,0.00196706,0.00035632,0.00033708,550,538.882,545.637,10128.8,0.36465,0.369221,11818,15104,0,100,17.05,18.75,23.396,15.421,9.653,1023
10/30/2025 09:41:42.643,1,139.975,21.6559,23.7501,16.481,20.2296,21.6559,108702,27378,-3.08296,0.0366839,-5.82052e-05,4.26181e-08,0.0726421,-2.64531,1.02692,0.0216781,-1.69413,0.913913,-13.5551,0.107731,-0.000215835,1.56145e-07,0.0563725,-1.70716,0.829784,0.309651,-2.44375,0.927647,2.5739,5.39562,0.00435465,0.0020213,0.00195202,0.000340797,550,537.35,544.025,10045.4,0.363493,0.36801,11817,15104,22,100,17.05,18.75,23.437,15.410,9.637,1023
10/30/2025 09:41:43.637,1,140.007,21.7111,23.8031,16.4944,20.2491,21.7111,108724,27658,-3.10234,0.0368793,-5.88238e-05,4.32672e-08,0.0728201,-2.61609,1.02692,0.0216208,-1.66901,0.913913,-12.4796,0.0998686,-0.00019669,1.40634e-07,0.0565403,-1.69516,0.829784,0.310987,-2.45624,0.927647,2.57394,5.39685,0.002267,0.00200861,0.000435506,0.000336372,550,538.501,545.222,10088.4,0.362626,0.36715,11819,15040,0,100,17.05,18.85,23.481,15.395,9.636,1023
10/30/2025 09:41:44.630,1,139.996,21.7596,23.856,16.506,20.3273,21.7596,108708,27940,-3.12818,0.0371301,-5.96151e-05,4.40874e-08,0.072924,-2.64323,1.02692,0.0215701,-1.68741,0.913913,-11.8745,0.0954858,-0.000186124,1.3216e-07,0.0565552,-1.72252,0.829784,0.31015,-2.5127,0.927647,2.574,5.39711,0.00215098,0.00203988,0.000348211,0.000334133,550,539.124,545.836,10061,0.361857,0.366358,11817,15168,17,100,17.05,18.85,23.521,15.376,9.590,1023
10/30/2025 09:41:45.623,1,140,21.752,23.9081,16.5125,20.3468,21.752,108781,28226,-3.14037,0.0372499,-6.00043e-05,4.44943e-08,0.0729629,-2.56555,1.02692,0.0214958,-1.61925,0.913913,-11.3956,0.0920204,-0.000177782,1.25472e-07,0.0565005,-1.67415,0.829784,0.30852,-2.48588,0.927647,2.57391,5.39655,0.00296511,0.00208555,0.000367291,0.000328088,550,539.434,546.116,10008.1,0.360598,0.365058,11819,15104,17,100,17.05,18.85,23.562,15.360,9.635,1023
10/30/2025 09:41:46.616,1,139.978,21.8073,23.9265,16.5136,20.425,21.8073,108776,28504,-3.16454,0.0374825,-6.07385e-05,4.52505e-08,0.0730135,-2.57547,1.02692,0.0214328,-1.61767,0.913913,-10.666,0.0867922,-0.000165326,1.156e-07,0.0563532,-1.68543,0.829784,0.307363,-2.53176,0.927647,2.57398,5.39639,0.0021474,0.00212824,0.000325994,0.000319402,550,539.641,546.3,9970.3,0.359635,0.364065,11819,15040,0,100,17.05,18.85,23.602,15.346,9.683,1023
10/30/2025 09:41:47.610,1,139.982,21.8624,23.9442,16.5101,20.4445,21.8624,108801,28783,-3.18588,0.0376883,-6.13911e-05,4.59231e-08,0.0729797,-2.5688,1.02692,0.0213768,-1.6057,0.913913,-10.1644,0.0832129,-0.000156836,1.089e-07,0.056174,-1.68507,0.829784,0.304739,-2.56317,0.927647,2.574,5.39597,0.00218341,0.00216674,0.000318326,0.000307537,550,539.225,545.82,9884.86,0.358788,0.363168,11818,15104,16,100,17.05,18.95,23.647,15.338,9.694,1023
10/30/2025 09:41:48.603,1,139.978,21.9175,23.9964,16.4923,20.5423,21.9175,108845,29059,-3.19005,0.0377199,-6.14871e-05,4.6004e-08,0.0729036,-2.5143,1.02692,0.0213291,-1.55015,0.913913,-9.50047,0.0784487,-0.000145481,9.98882e-08,0.0558939,-1.64768,0.829784,0.30171,-2.54471,0.927647,2.57406,5.39431,0.002811,0.00219309,0.000448463,0.000291735,550,538.498,545.015,9786.31,0.358079,0.362405,11819,15104,18,100,17.05,18.95,23.687,15.338,9.673,1023
10/30/2025 09:41:49.596,1,139.984,21.9729,24.049,16.4753,20.552,21.9729,108819,29336,-3.20519,0.0378577,-6.19219e-05,4.64361e-08,0.0727005,-2.54945,1.02692,0.0212778,-1.56734,0.913913,-9.26218,0.0768156,-0.000141796,9.71297e-08,0.0555879,-1.67571,0.829784,0.297845,-2.6028,0.927647,2.574,5.39244,0.00261877,0.00221422,0.000491938,0.000279578,550,536.831,543.24,9660.68,0.357311,0.36157,11817,15104,0,100,17.05,18.95,23.726,15.348,9.622,1023
10/30/2025 09:41:50.590,1,139.965,22.027,24.1003,16.4625,20.6302,22.027,108888,29610,-3.19764,0.0377839,-6.16808e-05,4.61727e-08,0.0726499,-2.49094,1.02692,0.0212866,-1.5072,0.913913,-9.08191,0.0755957,-0.000139067,9.51129e-08,0.0554168,-1.63635,0.829784,0.294569,-2.57739,0.927647,2.57394,5.39258,0.0027448,0.00224998,0.000280043,0.000261462,550,536.295,542.625,9554.12,0.357549,0.361764,11817,15104,0,100,17.05,18.95,23.766,15.362,9.625,1023
10/30/2025 09:41:51.583,1,139.969,22.0261,24.1523,16.4494,20.64,22.0261,108900,29891,-3.19752,0.0377762,-6.16305e-05,4.60856e-08,0.0725475,-2.48343,1.02692,0.0212802,-1.48518,0.913913,-8.51087,0.0715747,-0.000129659,8.7796e-08,0.0551549,-1.63241,0.829784,0.290992,-2.59241,0.927647,2.57408,5.39252,0.00230844,0.0022933,0.000246334,0.000243723,550,535.542,541.783,9438.12,0.35744,0.361602,11819,15104,0,100,17.05,19.05,23.810,15.372,9.675,1023
10/30/2025 09:41:52.576,1,139.977,22.0668,24.2042,16.4375,20.6497,22.0668,108895,30163,-3.20596,0.0378526,-6.18737e-05,4.63258e-08,0.0723699,-2.5025,1.02692,0.0212851,-1.49149,0.913913,-8.46764,0.0714002,-0.000129597,8.80329e-08,0.0547991,-1.64811,0.829784,0.285999,-2.61936,0.927647,2.57393,5.39119,0.00246883,0.00228661,0.000343474,0.000230423,550,534.11,540.222,9275.95,0.357591,0.361682,11817,15040,14,100,17.05,19.05,23.850,15.390,9.722,1023
10/30/2025 09:41:53.569,1,139.967,22.1213,24.2042,16.4277,20.7377,22.1213,108962,30440,-3.21036,0.0378929,-6.20046e-05,4.6451e-08,0.072244,-2.4323,1.02692,0.0212767,-1.42245,0.913913,-8.3003,0.0702527,-0.000127002,8.60846e-08,0.054472,-1.59827,0.829784,0.282042,-2.5724,0.927647,2.57404,5.39003,0.00306639,0.00229311,0.000309055,0.00021569,550,533.019,539.03,9147.33,0.35754,0.361574,11818,15104,13,100,17.05,19.05,23.890,15.398,9.732,1023
10/30/2025 09:41:54.563,1,139.961,22.1751,24.2503,16.421,20.767,22.1751,108937,30708,-3.20343,0.0378184,-6.1749e-05,4.61553e-08,0.0721862,-2.46508,1.02692,0.0213187,-1.43605,0.913913,-8.05035,0.0685888,-0.00012336,8.34611e-08,0.0541964,-1.61573,0.829784,0.277387,-2.59402,0.927647,2.57411,5.38958,0.00243848,0.00226619,0.000221488,0.000199242,550,532.432,538.335,8996.1,0.358336,0.362312,11819,15104,0,100,17.05,19.15,23.930,15.400,9.681,1023
10/30/2025 09:41:55.556,1,139.967,22.1842,24.302,16.4136,20.8354,22.1842,108990,30996,-3.17633,0.0375473,-6.08631e-05,4.51924e-08,0.0722212,-2.42765,1.02692,0.0213853,-1.39021,0.913913,-8.20859,0.0698754,-0.000126815,8.65181e-08,0.0540321,-1.58398,0.829784,0.272211,-2.55589,0.927647,2.57417,5.38903,0.00248118,0.00224073,0.000222851,0.000186478,550,532.664,538.458,8828.18,0.359471,0.363386,11817,15040,13,100,17.05,19.15,23.930,15.400,9.681,1023
10/30/2025 09:41:56.549,1,139.968,22.2327,24.346,16.4064,20.8744,22.2327,109017,31239,-3.14203,0.0372073,-5.97606e-05,4.401e-08,0.0720829,-2.3984,1.02692,0.0214607,-1.35338,0.913913,-8.65967,0.0732911,-0.000135419,9.37198e-08,0.0538698,-1.55333,0.829784,0.266906,-2.51276,0.927647,2.57399,5.38872,0.0023589,0.00221711,0.000193856,0.000173457,550,531.5,537.165,8655.91,0.360821,0.364674,11819,15104,0,100,17.05,19.15,23.973,15.398,9.653,1023
10/30/2025 09:41:57.543,1,139.979,22.287,24.3346,16.4052,20.9331,22.287,108997,31534,-3.12214,0.037005,-5.9099e-05,4.32885e-08,0.071783,-2.43669,1.02692,0.0215065,-1.36887,0.913913,-9.25747,0.0777558,-0.000146525,1.02904e-07,0.0536508,-1.57331,0.829784,0.261862,-2.52243,0.927647,2.57419,5.38781,0.0024691,0.00219333,0.000229583,0.000168406,550,529.129,534.655,8492.09,0.361683,0.365473,11819,15104,13,100,17.05,19.15,24.012,15.392,9.729,1023
