Time Stamp,Inlet Number,P (mbars),T0 (degC),T1 (degC),T2 (degC),T5 (degC),Tgas(degC),CO2 (ppm),H2O (ppm),N2O (ppm),Battery Charge (V),Power Input (mV),Current (mA),SOC (%),TEC Sink Temp (degC),Wall Code
10/30/2025 09:41:39.663,1,140.002,21.5585,23.7954,16.4738,20.0537,21.5585,544.766,10141.6,0.371209,11818,15040,0,100,15.450,1023
10/30/2025 09:41:40.657,1,139.996,21.6141,23.6441,16.476,20.0733,21.6141,545.465,10160.8,0.370257,11820,15104,17,100,15.438,1023
10/30/2025 09:41:41.650,1,139.998,21.607,23.6975,16.4778,20.1514,21.607,545.637,10128.8,0.369221,11818,15104,0,100,15.421,1023
10/30/2025 09:41:42.643,1,139.975,21.6559,23.7501,16.481,20.2296,21.6559,544.025,10045.4,0.36801,11817,15104,22,100,15.410,1023
10/30/2025 09:41:43.637,1,140.007,21.7111,23.8031,16.4944,20.2491,21.7111,545.222,10088.4,0.36715,11819,15040,0,100,15.395,1023
10/30/2025 09:41:44.630,1,139.996,21.7596,23.856,16.506,20.3273,21.7596,545.836,10061,0.366358,11817,15168,17,100,15.376,1023
10/30/2025 09:41:45.623,1,140,21.752,23.9081,16.5125,20.3468,21.752,546.116,10008.1,0.365058,11819,15104,17,100,15.360,1023
10/30/2025 09:41:46.616,1,139.978,21.8073,23.9265,16.5136,20.425,21.8073,546.3,9970.3,0.364065,11819,15040,0,100,15.346,1023
10/30/2025 09:41:47.610,1,139.982,21.8624,23.9442,16.5101,20.4445,21.8624,545.82,9884.86,0.363168,11818,15104,16,100,15.338,1023
10/30/2025 09:41:48.603,1,139.978,21.9175,23.9964,16.4923,20.5423,21.9175,545.015,9786.31,0.362405,11819,15104,18,100,15.338,1023
10/30/2025 09:41:49.596,1,139.984,21.9729,24.049,16.4753,20.552,21.9729,543.24,9660.68,0.36157,11817,15104,0,100,15.348,1023
10/30/2025 09:41:50.590,1,139.965,22.027,24.1003,16.4625,20.6302,22.027,542.625,9554.12,0.361764,11817,15104,0,100,15.362,1023
