Time Stamp,Inlet Number,P (mbars),T0 (degC),T1 (degC),T2 (degC),T5 (degC),Tgas(degC),Laser PID Readout,Det PID Readout,win0Fit0,win0Fit1,win0Fit2,win0Fit3,win0Fit4,win0Fit5,win0Fit6,win0Fit7,win0Fit8,win0Fit9,win1Fit0,win1Fit1,win1Fit2,win1Fit3,win1Fit4,win1Fit5,win1Fit6,Det Bkgd,Ramp Ampl,Init Win0 Chi2,Final Win0 Chi2,Init Win1 Chi2,Final Win1 Chi2,Ref Pos,CH4 (ppm)-Wet,CH4 (ppm),H2O (ppm),C2H6 (ppb)-Wet,C2H6 (ppb),R,C2/C1,Battery Charge (V),Power Input (mV),Current (mA),SOC (%),Battery T (degC),FET T (degC),TEC Temp (degC),TEC Sink Temp (degC),TEC Power (W),Wall Code,GPS Time,Latitude,Longitude,Alt. (m)
11/06/2025 05:23:38.587,0,239.986,30.1376,31.9719,23.0389,29.2379,30.1376,95137,77359,-1.03114,0.019775,-3.57542e-06,-1.26736e-08,0.0455933,1.25144,1.125,0.458664,2.76265,1.0526,-1.357,0.0220917,-1.05782e-05,-4.21024e-09,-0.000314586,5.20455,1.00168,2.58162,6.14733,360.246,0.000538813,1184.82,4.45196e-05,440,2.16417,2.16341,14020.6,-1.40124,-1.4004,0,-1,12521,15040,0,100,19.75,27.75,31.827,17.142,11.014,1023,No Data,No Data,No Data,No Data
11/06/2025 05:23:39.580,0,239.989,30.1802,32.0112,23.1888,29.2574,30.1802,95147,77531,-1.02747,0.0197135,-3.25448e-06,-1.32113e-08,0.0455295,1.24675,1.125,0.458893,2.759,1.0526,-1.21599,0.0210823,-8.17603e-06,-6.11345e-09,-4.13536e-05,5.2009,1.00168,2.58169,6.14709,0.0293885,0.000535803,0.000833043,4.43383e-05,440,2.16174,2.16097,14027.4,-0.184235,-0.184122,0,-1,12520,14976,0,100,19.75,27.75,31.859,17.140,11.026,1023,No Data,No Data,No Data,No Data
11/06/2025 05:23:40.573,0,240.007,30.2231,32.0514,23.2558,29.3356,30.2231,95093,77699,-1.03693,0.0198906,-3.57032e-06,-1.27497e-08,0.045647,1.20832,1.125,0.458967,2.72889,1.0526,-1.00622,0.0196985,-4.70589e-06,-8.86815e-09,2.12178e-05,5.17079,1.00168,2.58167,6.18639,0.0596721,0.000560466,0.100175,3.8443e-05,440,2.16791,2.16723,14029.4,0.0945465,0.0944883,0,-1,12521,15040,0,100,19.75,27.75,31.891,17.138,11.019,1023,No Data,No Data,No Data,No Data
11/06/2025 05:23:41.567,0,239.979,30.2658,32.0909,23.3522,29.3454,30.2658,95098,77873,-1.02875,0.0197384,-3.64473e-06,-1.23949e-08,0.0455722,1.20548,1.125,0.458932,2.72491,1.0526,-1.14952,0.0206102,-7.20412e-06,-6.79989e-09,-1.60656e-05,5.16681,1.00168,2.58187,6.13521,0.0806876,0.000546406,0.193927,4.42649e-05,440,2.16495,2.16422,14028.1,-0.0716026,-0.0715585,0,-1,12521,14976,0,100,19.75,27.75,31.926,17.135,11.014,1023,No Data,No Data,No Data,No Data
11/06/2025 05:23:42.560,0,239.992,30.3077,32.1305,23.3507,29.4333,30.3077,95037,78042,-1.02976,0.0197641,-3.58705e-06,-1.25316e-08,0.0457048,1.17289,1.125,0.458807,2.6933,1.0526,-1.58097,0.0237345,-1.45909e-05,-9.47799e-10,3.58872e-05,5.1352,1.00168,2.58169,6.14746,0.028276,0.000541277,0.00858238,4.44941e-05,440,2.17183,2.17117,14024.1,0.159976,0.159875,0,-1,12521,14976,0,100,19.75,27.75,31.957,17.134,10.991,1023,No Data,No Data,No Data,No Data
11/06/2025 05:23:43.553,0,239.992,30.3504,32.1697,23.3015,29.4724,30.3504,95063,78212,-1.03055,0.0197718,-3.92232e-06,-1.18723e-08,0.0456732,1.1688,1.125,0.458554,2.69571,1.0526,-1.51019,0.0231957,-1.34305e-05,-1.82343e-09,8.12039e-06,5.13761,1.00168,2.58175,6.13074,0.0308177,0.00054317,0.0237511,4.95104e-05,440,2.17092,2.17022,14016.1,0.0362058,0.0361822,0,-1,12521,14976,0,100,19.75,27.75,31.990,17.132,11.035,1023,No Data,No Data,No Data,No Data
11/06/2025 05:23:44.546,0,239.989,30.3924,32.2092,23.1467,29.531,30.3924,94986,78384,-1.03752,0.0198969,-4.45278e-06,-1.09387e-08,0.0457292,1.12074,1.125,0.458863,2.65629,1.0526,-1.38224,0.0222597,-1.10374e-05,-3.81619e-09,0.00016028,5.09819,1.00168,2.58174,6.14055,0.0248672,0.000539816,0.00569055,4.74895e-05,440,2.17416,2.17354,14025.3,0.714769,0.71431,0,-1,12521,14976,0,100,19.75,27.75,32.021,17.131,10.974,1023,No Data,No Data,No Data,No Data
11/06/2025 05:23:45.540,0,239.987,30.4344,32.2487,23.1737,29.531,30.4344,95009,78552,-1.03882,0.0199234,-4.39637e-06,-1.10621e-08,0.0457321,1.13969,1.125,0.459075,2.66568,1.0526,-1.60502,0.0238661,-1.47576e-05,-9.05795e-10,0.000190593,5.10758,1.00168,2.58187,6.15279,0.0265557,0.000554309,0.00855067,4.61105e-05,440,2.17488,2.1743,14031.6,0.850112,0.849579,0,-1,12521,15168,0,100,19.75,27.75,32.056,17.131,10.998,1023,No Data,No Data,No Data,No Data
11/06/2025 05:23:46.533,0,239.989,30.4761,32.2878,23.3527,29.5603,30.4761,94940,78723,-1.04331,0.0200051,-4.87992e-06,-1.01742e-08,0.0457464,1.09091,1.125,0.4594,2.62911,1.0526,-1.75778,0.0249788,-1.74628e-05,1.27883e-09,0.000283634,5.07101,1.00168,2.58186,6.15205,0.0213048,0.00055525,0.00106418,4.92278e-05,440,2.17614,2.17561,14041.3,1.26535,1.26458,0,-1,12521,14976,0,100,19.75,27.85,32.088,17.130,10.965,1023,No Data,No Data,No Data,No Data
11/06/2025 05:23:47.526,0,239.99,30.5183,32.3278,23.3956,29.6287,30.5183,94955,78891,-1.03708,0.0198855,-4.67141e-06,-1.04799e-08,0.0457708,1.08793,1.125,0.459447,2.6324,1.0526,-1.71003,0.024575,-1.66711e-05,6.95036e-10,0.000310538,5.0743,1.00168,2.58172,6.12483,0.036419,0.000553345,0.0579581,4.97624e-05,440,2.17789,2.17739,14042.5,1.38565,1.38481,0.856659,0.124193,12521,14976,0,100,19.75,27.85,32.119,17.129,11.005,1023,No Data,No Data,No Data,No Data
