DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           NH3                       NH3_30s                   NH3_5min                  H2O                       CO2                       NH3_raw                   NH3_dry                   nh3_base_11               
2025-08-26                09:24:33.112              237.39204992              5697.409198               238.39204992              1756200273.113            0                         899                       1.4005182117E+02          4.4098136902E+01          3.3250000000E+01          4.4998344421E+01          4.4786003113E+01          2.0000000000E+00          0.0000000000E+00          4.2933120223E+04          1.0000000000E+00          2.3427753290E+01          2.3425227845E+01          2.3425227845E+01          1.3220591056E+00          4.1343770686E+02          2.3427753290E+01          2.3427753290E+01          7.0559739276E+02          
2025-08-26                09:24:34.019              237.39206042              5697.409450               238.39206042              1756200274.020            0                         899                       1.4001072220E+02          4.4098118492E+01          3.3250000000E+01          4.4998164799E+01          4.4785755323E+01          2.0000000000E+00          0.0000000000E+00          4.2936178244E+04          1.0000000000E+00          2.2805953121E+01          2.3388799920E+01          2.3388799920E+01          1.3163736007E+00          4.0290080500E+02          2.2805953121E+01          2.2805953121E+01          7.0549558176E+02          
2025-08-26                09:24:34.933              237.39207098              5697.409704               238.39207098              1756200274.933            0                         899                       1.4002644904E+02          4.4097007751E+01          3.3250000000E+01          4.4987327576E+01          4.4770805359E+01          2.0000000000E+00          0.0000000000E+00          4.2951384023E+04          1.0000000000E+00          2.2977141240E+01          2.3365929993E+01          2.3365929993E+01          1.3186352353E+00          4.2855041980E+02          2.2977141240E+01          2.2977141240E+01          7.0566482580E+02          
2025-08-26                09:24:35.846              237.39208156              5697.409957               238.39208156              1756200275.847            0                         899                       1.4005640718E+02          4.4097007751E+01          3.3210258152E+01          4.4987327576E+01          4.4770805359E+01          2.0000000000E+00          0.0000000000E+00          4.2962888820E+04          1.0000000000E+00          2.3075996199E+01          2.3350670320E+01          2.3350670320E+01          1.3266425200E+00          4.1503274459E+02          2.3075996199E+01          2.3075996199E+01          7.0552548152E+02          
2025-08-26                09:24:36.757              237.39209211              5697.410211               238.39209211              1756200276.758            0                         899                       1.4011967087E+02          4.4097007751E+01          3.3250000000E+01          4.4987327576E+01          4.4770805359E+01          2.0000000000E+00          0.0000000000E+00          4.2983265625E+04          1.0000000000E+00          2.2704951830E+01          2.3318384396E+01          2.3318384396E+01          1.3175014077E+00          4.2699699346E+02          2.2704951830E+01          2.2704951830E+01          7.0564598235E+02          
2025-08-26                09:24:37.660              237.39210255              5697.410461               238.39210255              1756200277.660            0                         899                       1.4006510759E+02          4.4097007751E+01          3.3250000000E+01          4.4987327576E+01          4.4770805359E+01          2.0000000000E+00          0.0000000000E+00          4.2985835131E+04          1.0000000000E+00          2.2998254532E+01          2.3303140116E+01          2.3303140116E+01          1.3135568989E+00          4.2962272418E+02          2.2998254532E+01          2.2998254532E+01          7.0551583818E+02          
2025-08-26                09:24:38.565              237.39211303              5697.410713               238.39211303              1756200278.566            0                         899                       1.4003535602E+02          4.4097007751E+01          3.3250000000E+01          4.4987327576E+01          4.4770805359E+01          2.0000000000E+00          0.0000000000E+00          4.2986882812E+04          1.0000000000E+00          2.3032982398E+01          2.3290860220E+01          2.3290860220E+01          1.3175810379E+00          4.4367051777E+02          2.3032982398E+01          2.3032982398E+01          7.0543302913E+02          
2025-08-26                09:24:39.483              237.39212365              5697.410968               238.39212365              1756200279.483            0                         899                       1.4008734662E+02          4.4096973253E+01          3.3250000000E+01          4.4987066849E+01          4.4770467012E+01          2.0000000000E+00          0.0000000000E+00          4.3002597826E+04          1.0000000000E+00          2.3041111087E+01          2.3280001562E+01          2.3280001562E+01          1.3233888150E+00          4.3042521192E+02          2.3041111087E+01          2.3041111087E+01          7.0543244370E+02          
2025-08-26                09:24:40.384              237.39213409              5697.411218               238.39213409              1756200280.385            0                         899                       1.4004318237E+02          4.4095420837E+01          3.3250000000E+01          4.4975334167E+01          4.4755241394E+01          2.0000000000E+00          0.0000000000E+00          4.3009402344E+04          1.0000000000E+00          2.3023775564E+01          2.3269325479E+01          2.3269325479E+01          1.3319442553E+00          3.9534151691E+02          2.3023775564E+01          2.3023775564E+01          7.0554395448E+02          
2025-08-26                09:24:41.302              237.39214470              5697.411473               238.39214470              1756200281.302            0                         899                       1.4008848439E+02          4.4095420837E+01          3.3250000000E+01          4.4975334167E+01          4.4755241394E+01          2.0000000000E+00          0.0000000000E+00          4.3019052904E+04          1.0000000000E+00          2.2425385502E+01          2.3235567880E+01          2.3235567880E+01          1.3218621428E+00          4.3112261786E+02          2.2425385502E+01          2.2425385502E+01          7.0551748001E+02          
