Time Stamp,Inlet Number,P (mbars),T0 (degC),T1 (degC),T2 (degC),T5 (degC),Tgas(degC),CH4 (ppm),H2O (ppm),C2H6 (ppb),R,C2/C1,Battery Charge (V),Power Input (mV),Current (mA),SOC (%),TEC Sink Temp (degC),Wall Code,Latitude,Longitude
10/30/2025 05:06:04.594,0,240.001,28.4407,30.0772,18.9496,27.3522,28.4407,2.125,12752.8,8.03863,0,-1,12145,15040,0,100,15.390,1023,No Data,No Data
10/30/2025 05:06:05.587,0,239.99,28.4834,30.1165,18.9496,27.3815,28.4834,2.12439,12761.6,7.27213,0,-1,12144,15040,0,100,15.388,1023,No Data,No Data
10/30/2025 05:06:06.580,0,239.99,28.5254,30.1564,18.9435,27.4597,28.5254,2.12328,12760.7,7.2448,0,-1,12144,15104,0,100,15.387,1023,No Data,No Data
10/30/2025 05:06:07.573,0,240.005,28.5676,30.1952,18.9415,27.4792,28.5676,2.11758,12753.7,7.34507,0,-1,12146,15040,0,100,15.386,1023,No Data,No Data
10/30/2025 05:06:08.567,0,239.985,28.573,30.2353,18.9433,27.489,28.573,2.1178,12759.7,7.4417,0,-1,12144,15040,0,100,15.383,1023,No Data,No Data
10/30/2025 05:06:09.560,0,239.992,28.5793,30.2744,18.944,27.5574,28.5793,2.11856,12751,7.39198,0,-1,12144,15040,0,100,15.383,1023,No Data,No Data
10/30/2025 05:06:10.553,0,239.993,28.6221,30.2335,18.9481,27.5769,28.6221,2.11306,12752.8,6.30048,0,-1,12145,15040,0,100,15.380,1023,No Data,No Data
10/30/2025 05:06:11.546,0,240.006,28.6648,30.2726,18.9591,27.6551,28.6648,2.11349,12739.6,5.68764,0,-1,12145,15040,0,100,15.377,1023,No Data,No Data
10/30/2025 05:06:12.540,0,239.971,28.7062,30.3121,18.9596,27.6746,28.7062,2.109,12737.8,5.49935,0,-1,12144,14976,0,100,15.375,1023,No Data,No Data
10/30/2025 05:06:13.533,0,240.008,28.7476,30.3511,18.9536,27.7235,28.7476,2.10455,12734.1,5.84415,0.857773,0.113309,12144,15104,0,100,15.373,1023,No Data,No Data
10/30/2025 05:06:14.526,0,239.993,28.79,30.3904,18.9498,27.7723,28.79,2.10367,12728,5.15688,0.895466,0.117033,12144,14976,0,100,15.372,1023,No Data,No Data
10/30/2025 05:06:15.520,0,239.994,28.8316,30.43,18.9529,27.7919,28.8316,2.10145,12717.7,4.68431,0.9219,0.122742,12144,14976,0,100,15.369,1023,No Data,No Data
10/30/2025 05:06:16.513,0,239.98,28.8448,30.4686,18.9524,27.8701,28.8448,2.09594,12721.2,5.21945,0.90685,0.10692,12145,15168,0,100,15.369,1023,No Data,No Data
10/30/2025 05:06:17.506,0,239.997,28.8424,30.5079,18.947,27.8701,28.8424,2.09742,12727.3,4.91667,0.917887,0.104907,12144,14976,0,100,15.368,1023,No Data,No Data
10/30/2025 05:06:18.499,0,239.999,28.8847,30.5396,18.9444,27.9287,28.8847,2.09714,12711.1,4.6929,0.928456,0.10544,12144,15040,0,100,15.366,1023,No Data,No Data
10/30/2025 05:06:19.493,0,239.999,28.9263,30.5256,18.9453,27.9678,28.9263,2.0965,12714.2,4.4109,0.936966,0.107546,12145,15104,0,100,15.364,1023,No Data,No Data
10/30/2025 05:06:20.486,0,239.998,28.9679,30.5642,18.948,28.0361,28.9679,2.09587,12706.7,4.65775,0.941908,0.106849,12144,14976,0,100,15.364,1023,No Data,No Data
10/30/2025 05:06:21.479,0,239.991,29.0089,30.6031,18.9495,28.0655,29.0089,2.0928,12713.5,5.67626,0.90373,0.0964042,12144,14976,0,100,15.363,1023,No Data,No Data
10/30/2025 05:06:22.473,0,239.998,29.0503,30.6415,18.9405,28.0752,29.0503,2.09627,12710.2,5.25409,0.901984,0.0942254,12145,15040,0,100,15.363,1023,No Data,No Data
10/30/2025 05:06:23.466,0,239.989,29.092,30.6794,18.9343,28.1632,29.092,2.09689,12714.2,6.13503,0.871723,0.0890102,12144,15040,0,100,15.361,1023,No Data,No Data
10/30/2025 05:06:24.459,0,240.001,29.1192,30.7184,18.9409,28.1632,29.1192,2.10361,12705.3,4.99839,0.867535,0.0898948,12144,15040,0,100,15.360,1023,No Data,No Data
10/30/2025 05:06:25.452,0,239.985,29.1006,30.7568,18.9494,28.212,29.1006,2.09962,12718.4,5.73461,0.86261,0.088494,12146,15040,0,100,15.357,1023,No Data,No Data
10/30/2025 05:06:26.446,0,239.992,29.1428,30.795,18.9543,28.2609,29.1428,2.10432,12727.4,5.4577,0.862439,0.0887023,12144,15040,0,100,15.356,1023,No Data,No Data
10/30/2025 05:06:27.439,0,239.994,29.1847,30.777,18.9613,28.2609,29.1847,2.10679,12736.2,5.39626,0.85814,0.0886323,12144,15040,0,100,15.354,1023,No Data,No Data
10/30/2025 05:06:28.432,0,240,29.2249,30.791,18.9688,28.3293,29.2249,2.11378,12731.2,5.33166,0.830432,0.0852986,12145,14976,0,100,15.352,1023,No Data,No Data
10/30/2025 05:06:29.426,0,240.004,29.2661,30.8289,18.9799,28.3586,29.2661,2.12055,12748.2,5.39891,0.776673,0.077236,12144,15040,0,100,15.350,1023,No Data,No Data
10/30/2025 05:06:30.419,0,239.998,29.3072,30.8668,18.989,28.4563,29.3072,2.12041,12741.7,5.91415,0.757911,0.0731277,12145,15168,0,100,15.347,1023,No Data,No Data
10/30/2025 05:06:31.412,0,239.987,29.3478,30.9052,18.9842,28.4563,29.3478,2.11817,12754.1,5.36459,0.725025,0.0689525,12145,15168,0,100,15.348,1023,No Data,No Data
