Time Stamp,Inlet Number,P (mbars),T0 (degC),T1 (degC),T2 (degC),T5 (degC),Tgas(degC),CH4 (ppm),H2O (ppm),C2H6 (ppb),R,C2/C1,Battery Charge (V),Power Input (mV),Current (mA),SOC (%),TEC Sink Temp (degC),Wall Code,Latitude,Longitude
11/06/2025 05:23:38.587,0,239.986,30.1376,31.9719,23.0389,29.2379,30.1376,2.16341,14020.6,-1.4004,0,-1,12521,15040,0,100,17.142,1023,No Data,No Data
11/06/2025 05:23:39.580,0,239.989,30.1802,32.0112,23.1888,29.2574,30.1802,2.16097,14027.4,-0.184122,0,-1,12520,14976,0,100,17.140,1023,No Data,No Data
11/06/2025 05:23:40.573,0,240.007,30.2231,32.0514,23.2558,29.3356,30.2231,2.16723,14029.4,0.0944883,0,-1,12521,15040,0,100,17.138,1023,No Data,No Data
11/06/2025 05:23:41.567,0,239.979,30.2658,32.0909,23.3522,29.3454,30.2658,2.16422,14028.1,-0.0715585,0,-1,12521,14976,0,100,17.135,1023,No Data,No Data
11/06/2025 05:23:42.560,0,239.992,30.3077,32.1305,23.3507,29.4333,30.3077,2.17117,14024.1,0.159875,0,-1,12521,14976,0,100,17.134,1023,No Data,No Data
11/06/2025 05:23:43.553,0,239.992,30.3504,32.1697,23.3015,29.4724,30.3504,2.17022,14016.1,0.0361822,0,-1,12521,14976,0,100,17.132,1023,No Data,No Data
11/06/2025 05:23:44.546,0,239.989,30.3924,32.2092,23.1467,29.531,30.3924,2.17354,14025.3,0.71431,0,-1,12521,14976,0,100,17.131,1023,No Data,No Data
11/06/2025 05:23:45.540,0,239.987,30.4344,32.2487,23.1737,29.531,30.4344,2.1743,14031.6,0.849579,0,-1,12521,15168,0,100,17.131,1023,No Data,No Data
11/06/2025 05:23:46.533,0,239.989,30.4761,32.2878,23.3527,29.5603,30.4761,2.17561,14041.3,1.26458,0,-1,12521,14976,0,100,17.130,1023,No Data,No Data
11/06/2025 05:23:47.526,0,239.99,30.5183,32.3278,23.3956,29.6287,30.5183,2.17739,14042.5,1.38481,0.856659,0.124193,12521,14976,0,100,17.129,1023,No Data,No Data
11/06/2025 05:23:48.520,0,239.996,30.5604,32.3662,23.3745,29.6385,30.5604,2.17828,14042.4,1.90381,0.883933,0.136684,12521,14976,0,100,17.127,1023,No Data,No Data
11/06/2025 05:23:49.513,0,240,30.5586,32.3971,23.4676,29.7167,30.5586,2.18236,14041.7,3.1427,0.908312,0.161609,12521,15104,0,100,17.128,1023,No Data,No Data
11/06/2025 05:23:50.506,0,239.989,30.582,32.3603,23.4165,29.7264,30.582,2.18102,14052,3.46813,0.907942,0.18161,12521,14976,0,100,17.126,1023,No Data,No Data
11/06/2025 05:23:51.499,0,239.973,30.6241,32.3997,23.3862,29.7948,30.6241,2.17806,14059,3.946,0.870677,0.199983,12520,15040,0,100,17.126,1023,No Data,No Data
11/06/2025 05:23:52.493,0,239.99,30.6662,32.4388,23.4703,29.8241,30.6662,2.18202,14064.3,3.54587,0.887299,0.207603,12521,14976,0,100,17.126,1023,No Data,No Data
11/06/2025 05:23:53.486,0,240.006,30.7078,32.4772,23.5321,29.873,30.7078,2.18436,14058.6,3.88565,0.903917,0.21204,12520,14976,0,100,17.126,1023,No Data,No Data
11/06/2025 05:23:54.479,0,239.997,30.7493,32.5163,23.5551,29.9218,30.7493,2.1837,14071.7,4.36177,0.912753,0.221283,12521,14976,0,100,17.126,1023,No Data,No Data
11/06/2025 05:23:55.473,0,240.003,30.7914,32.555,23.6288,29.9218,30.7914,2.18951,14086.3,4.00149,0.915645,0.209616,12521,15168,0,100,17.124,1023,No Data,No Data
11/06/2025 05:23:56.466,0,239.994,30.8327,32.5938,23.6643,29.9707,30.8327,2.19146,14080,4.56204,0.924184,0.203556,12520,15168,0,100,17.123,1023,No Data,No Data
11/06/2025 05:23:57.459,0,240.001,30.8097,32.6323,23.7196,30.0195,30.8097,2.18625,14085.1,4.05554,0.929187,0.204514,12521,15168,0,100,17.121,1023,No Data,No Data
11/06/2025 05:23:58.452,0,239.973,30.8359,32.654,23.7305,30.0391,30.8359,2.1879,14084.7,4.09205,0.933225,0.203316,12520,14976,0,100,17.119,1023,No Data,No Data
11/06/2025 05:23:59.446,0,239.998,30.8771,32.6244,23.6396,30.1172,30.8771,2.1851,14087.1,5.22811,0.926705,0.210555,12520,15168,0,100,17.119,1023,No Data,No Data
