Time Stamp,Inlet Number,P (mbars),T0 (degC),T1 (degC),T2 (degC),T5 (degC),Tgas(degC),CO2 (ppm),H2O (ppm),N2O (ppm),Battery Charge (V),Power Input (mV),Current (mA),SOC (%),TEC Sink Temp (degC),Wall Code
10/06/2025 11:42:34.763,1,139.953,22.9913,25.252,18.4204,21.7147,22.9913,496.933,8779.99,0.381649,11905,15104,0,100,17.011,1023
10/06/2025 11:42:35.756,1,139.946,23.0464,25.2691,18.4195,21.7831,23.0464,495.879,8731.13,0.380758,11906,15104,14,100,17.004,1023
10/06/2025 11:42:36.749,1,139.947,23.1019,25.2871,18.4262,21.8124,23.1019,494.497,8692.66,0.37964,11906,15168,0,100,16.996,1023
10/06/2025 11:42:37.743,1,139.936,23.0907,25.3393,18.4287,21.8906,23.0907,494.273,8618.36,0.379178,11905,15104,20,100,16.988,1023
10/06/2025 11:42:38.736,1,139.938,23.1388,25.3922,18.4263,21.9101,23.1388,493.318,8537.95,0.378205,11907,15168,0,100,16.978,1023
10/06/2025 11:42:39.729,1,139.949,23.1944,25.4027,18.4222,21.9785,23.1944,494.048,8465.06,0.377579,11906,15104,14,100,16.969,1023
10/06/2025 11:42:40.723,1,139.963,23.2497,25.4269,18.4205,22.0078,23.2497,494.766,8358.65,0.376985,11905,15168,11,100,16.962,1023
10/06/2025 11:42:41.716,1,139.986,23.3051,25.4788,18.417,22.086,23.3051,494.92,8218.42,0.375958,11906,15104,16,100,16.954,1023
10/06/2025 11:42:42.709,1,139.96,23.3604,25.5316,18.4147,22.1055,23.3604,495.585,8115.1,0.374785,11905,15168,0,100,16.945,1023
10/06/2025 11:42:43.702,1,139.96,23.3783,25.5845,18.4137,22.1739,23.3783,497.242,7991.35,0.373849,11906,15104,13,100,16.937,1023
10/06/2025 11:42:44.696,1,139.987,23.3959,25.6367,18.4138,22.213,23.3959,496.245,7843.02,0.372037,11905,15168,0,100,16.929,1023
10/06/2025 11:42:45.689,1,139.967,23.4517,25.6889,18.4117,22.2912,23.4517,495.957,7749.72,0.370433,11905,15168,0,100,16.921,1023
10/06/2025 11:42:46.682,1,139.948,23.5061,25.5166,18.4116,22.3205,23.5061,494.734,7651.25,0.368518,11905,15104,14,100,16.913,1023
10/06/2025 11:42:47.675,1,139.986,23.5157,25.569,18.4141,22.3986,23.5157,495.528,7613.93,0.368014,11906,15168,8,100,16.905,1023
10/06/2025 11:42:48.669,1,140.003,23.5407,25.6209,18.4131,22.4084,23.5407,494.127,7486.29,0.366625,11905,15104,0,100,16.898,1023
10/06/2025 11:42:49.662,1,139.974,23.5953,25.6734,18.4137,22.4866,23.5953,492.501,7402.5,0.36559,11905,15168,0,100,16.890,1023
10/06/2025 11:42:50.655,1,139.991,23.6501,25.7248,18.4134,22.5061,23.6501,492.244,7372.29,0.364952,11905,15168,14,100,16.890,1023
10/06/2025 11:42:51.649,1,139.983,23.7039,25.7767,18.4123,22.594,23.7039,492.361,7293.99,0.364652,11905,15168,0,100,16.883,1023
10/06/2025 11:42:52.642,1,139.989,23.7587,25.8279,18.4124,22.6136,23.7587,491.999,7260.21,0.364717,11905,15104,0,100,16.875,1023
10/06/2025 11:42:53.635,1,139.98,23.8023,25.88,18.4119,22.6917,23.8023,491.603,7220.03,0.364664,11906,15168,0,100,16.867,1023
10/06/2025 11:42:54.628,1,139.968,23.8146,25.9312,18.4123,22.7211,23.8146,491.995,7189.89,0.365709,11905,15104,11,100,16.859,1023
10/06/2025 11:42:55.622,1,139.985,23.8683,25.9586,18.4115,22.7895,23.8683,491.808,7164.68,0.366535,11906,15168,0,100,16.853,1023
10/06/2025 11:42:56.615,1,139.976,23.922,25.9734,18.4115,22.809,23.922,491.126,7135.37,0.367929,11905,15168,0,100,16.844,1023
10/06/2025 11:42:57.608,1,139.989,23.9289,26.0249,18.4096,22.8872,23.9289,490.18,7082.94,0.368912,11906,15104,0,100,16.835,1023
10/06/2025 11:42:58.602,1,139.981,23.9521,26.0757,18.412,22.8872,23.9521,490.13,7083,0.370491,11905,15104,12,100,16.828,1023
