Time Stamp,Inlet Number,P (mbars),T0 (degC),T1 (degC),T2 (degC),T5 (degC),Tgas(degC),CO2 (ppm),H2O (ppm),N2O (ppm),Battery Charge (V),Power Input (mV),Current (mA),SOC (%),TEC Sink Temp (degC),Wall Code
11/26/2025 09:37:16.657,1,139.931,25.8664,28.1136,23.0169,24.9389,25.8664,518.038,5393.07,0.381068,11896,15104,17,100,19.667,1023
11/26/2025 09:37:17.650,1,139.933,25.9226,28.1675,23.0531,25.0171,25.9226,517.957,5315.09,0.38255,11895,14976,0,100,19.656,1023
11/26/2025 09:37:18.643,1,139.958,25.9532,28.2202,23.0474,25.0464,25.9532,518.177,5226.99,0.383982,11896,15040,0,100,19.647,1023
11/26/2025 09:37:19.637,1,139.938,25.9509,28.2731,23.0317,25.1343,25.9509,518.496,5189.92,0.384297,11896,14976,0,100,19.637,1023
11/26/2025 09:37:20.630,1,139.971,26.0068,28.276,23.0219,25.1343,26.0068,518.741,5139.95,0.384306,11895,14976,0,100,19.626,1023
11/26/2025 09:37:21.623,1,139.964,26.0624,28.127,23.0045,25.1734,26.0624,518.08,5122.15,0.383671,11896,14976,0,100,19.618,1023
11/26/2025 09:37:22.616,1,139.964,26.0924,28.1803,23.029,25.232,26.0924,519.274,5156.11,0.383601,11896,14976,0,100,19.609,1023
11/26/2025 09:37:23.610,1,139.971,26.0887,28.2329,23.1587,25.3004,26.0887,519.13,5174.05,0.382718,11896,15040,0,100,19.601,1023
11/26/2025 09:37:24.603,1,139.967,26.1432,28.2857,23.2126,25.3298,26.1432,519.502,5209.2,0.381917,11896,14976,9,100,19.593,1023
11/26/2025 09:37:25.596,1,139.967,26.1985,28.3388,23.2679,25.4079,26.1985,519.5,5270.3,0.381006,11895,14976,0,100,19.585,1023
11/26/2025 09:37:26.590,1,139.992,26.2536,28.3917,23.2402,25.4275,26.2536,519.334,5337.28,0.379946,11895,14976,0,100,19.577,1023
11/26/2025 09:37:27.583,1,139.963,26.3092,28.4439,23.2042,25.5056,26.3092,519.674,5426.33,0.378859,11896,14976,0,100,19.570,1023
11/26/2025 09:37:28.576,1,139.968,26.3634,28.4967,23.197,25.5252,26.3634,521.314,5532.08,0.37857,11896,14976,9,100,19.563,1023
11/26/2025 09:37:29.569,1,139.981,26.3607,28.5476,23.1373,25.5936,26.3607,520.873,5577.28,0.377762,11895,14976,0,100,19.556,1023
