Time Stamp,Inlet Number,P (mbars),T0 (degC),T1 (degC),T2 (degC),T5 (degC),Tgas(degC),CO2 (ppm),H2O (ppm),N2O (ppm),Battery Charge (V),Power Input (mV),Current (mA),SOC (%),TEC Sink Temp (degC),Wall Code
11/10/2025 09:44:22.663,1,139.931,20.4481,22.5907,17.5758,18.7836,20.4481,546.876,5783.75,0.38228,11867,15104,0,100,14.489,1023
11/10/2025 09:44:23.657,1,139.928,20.5046,22.6111,17.6277,18.8422,20.5046,547.293,5734.13,0.383037,11869,15104,0,100,14.482,1023
11/10/2025 09:44:24.650,1,139.95,20.5593,22.6644,17.6765,18.8813,20.5593,547.418,5689.85,0.384012,11867,15104,0,100,14.475,1023
11/10/2025 09:44:25.643,1,139.935,20.5949,22.7163,17.7171,18.9399,20.5949,549.564,5708.12,0.385685,11867,15104,0,100,14.466,1023
11/10/2025 09:44:26.637,1,139.97,20.6049,22.7332,17.7613,18.979,20.6049,549.813,5687.23,0.386526,11869,15104,0,100,14.457,1023
11/10/2025 09:44:27.630,1,139.966,20.6595,22.7694,17.743,19.0181,20.6595,549.239,5694.22,0.386852,11868,15104,0,100,14.443,1023
11/10/2025 09:44:28.623,1,139.962,20.7142,22.8225,17.7984,19.0767,20.7142,548.671,5707.87,0.386951,11867,15104,11,100,14.432,1023
11/10/2025 09:44:29.616,1,139.947,20.7419,22.8747,17.7887,19.1451,20.7419,549.757,5771.16,0.387624,11870,15168,0,100,14.416,1023
11/10/2025 09:44:30.610,1,139.979,20.7776,22.9266,17.8335,19.1842,20.7776,551.088,5826.98,0.387847,11867,15104,0,100,14.404,1023
11/10/2025 09:44:31.603,1,139.971,20.832,22.9784,17.8164,19.2721,20.832,551.694,5840.57,0.387192,11870,15104,12,100,14.389,1023
11/10/2025 09:44:32.596,1,139.969,20.8802,22.9981,17.8048,19.2721,20.8802,552.087,5895.88,0.386565,11868,15104,0,100,14.376,1023
11/10/2025 09:44:33.590,1,139.966,20.8733,23.0175,17.8765,19.3698,20.8733,552.908,5955.74,0.385327,11868,15104,0,100,14.360,1023
11/10/2025 09:44:34.583,1,139.976,20.9283,23.0695,17.9032,19.3991,20.9283,552.707,5991.68,0.384613,11870,15104,0,100,14.348,1023
11/10/2025 09:44:35.576,1,139.953,20.9818,23.121,17.8802,19.4675,20.9818,552.526,6042.85,0.3836,11869,15104,0,100,14.333,1023
11/10/2025 09:44:36.569,1,139.983,21.0166,23.1384,17.8827,19.4675,21.0166,551.752,6070.08,0.382168,11869,15104,0,100,14.316,1023
11/10/2025 09:44:37.563,1,139.97,21.0232,23.158,17.906,19.5164,21.0232,551.434,6090.3,0.380585,11870,15104,17,100,14.303,1023
11/10/2025 09:44:38.556,1,139.991,21.0763,23.2088,17.8219,19.5652,21.0763,552.043,6173.27,0.37958,11869,15104,0,100,14.303,1023
11/10/2025 09:44:39.549,1,139.989,21.1308,23.2607,17.7175,19.5945,21.1308,551.185,6200.28,0.378168,11868,15104,0,100,14.289,1023
11/10/2025 09:44:40.543,1,139.975,21.1846,23.311,17.6866,19.6629,21.1846,551.07,6251.4,0.377024,11870,15104,0,100,14.274,1023
11/10/2025 09:44:41.536,1,139.981,21.2389,23.3624,17.7615,19.7118,21.2389,551.953,6321.35,0.375939,11869,15104,17,100,14.258,1023
11/10/2025 09:44:42.529,1,140.002,21.2923,23.4127,17.8543,19.7606,21.2923,551.774,6383,0.374691,11868,15104,0,100,14.239,1023
