Time Stamp,Inlet Number,P (mbars),T0 (degC),T1 (degC),T2 (degC),T5 (degC),Tgas(degC),CO2 (ppm),H2O (ppm),N2O (ppm),Battery Charge (V),Power Input (mV),Current (mA),SOC (%),TEC Sink Temp (degC),Wall Code
11/24/2025 09:33:12.657,1,139.936,26.9045,29.1161,23.2565,26.1505,26.9045,531.733,6940.47,0.383625,11885,15040,0,100,20.751,1023
11/24/2025 09:33:13.650,1,139.982,26.8905,29.1194,23.2633,26.2091,26.8905,535.766,6851.23,0.384172,11885,15040,0,100,20.739,1023
11/24/2025 09:33:14.643,1,139.959,26.9468,29.1728,23.2849,26.2286,26.9468,536.021,6743.27,0.383477,11883,15040,0,100,20.728,1023
11/24/2025 09:33:15.637,1,139.961,27.0031,29.2275,23.2735,26.3068,27.0031,537.652,6625.09,0.383139,11885,14976,0,100,20.715,1023
11/24/2025 09:33:16.630,1,139.967,27.0329,29.2803,23.3045,26.3068,27.0329,538.259,6478.7,0.382358,11885,14976,0,100,20.703,1023
11/24/2025 09:33:17.623,1,139.957,27.0272,29.334,23.2755,26.385,27.0272,538.524,6339.08,0.381426,11883,15040,0,100,20.691,1023
11/24/2025 09:33:18.616,1,139.973,27.0823,29.3873,23.1593,26.424,27.0823,537.323,6177.07,0.3795,11885,14976,0,100,20.679,1023
11/24/2025 09:33:19.610,1,139.967,27.1388,29.3719,23.1201,26.5022,27.1388,536.438,6044.55,0.378125,11885,14976,0,100,20.670,1023
11/24/2025 09:33:20.603,1,139.96,27.1946,29.4083,23.1114,26.512,27.1946,535.656,5906.96,0.376165,11883,15104,14,100,20.663,1023
11/24/2025 09:33:21.596,1,139.978,27.2502,29.461,23.192,26.5999,27.2502,535.577,5768.13,0.375251,11885,15040,16,100,20.658,1023
11/24/2025 09:33:22.590,1,139.972,27.3054,29.5143,23.2597,26.6097,27.3054,535.072,5672.25,0.373834,11883,15040,0,100,20.655,1023
11/24/2025 09:33:23.583,1,139.971,27.3081,29.5672,23.3337,26.6976,27.3081,534.553,5612.26,0.372823,11883,15040,0,100,20.651,1023
11/24/2025 09:33:24.576,1,139.971,27.3503,29.6195,23.3742,26.6976,27.3503,534.373,5560.96,0.37241,11885,15040,0,100,20.647,1023
11/24/2025 09:33:25.569,1,139.977,27.4059,29.6586,23.3409,26.7855,27.4059,533.572,5538.2,0.371973,11884,15040,0,100,20.643,1023
11/24/2025 09:33:26.563,1,139.979,27.4614,29.6572,23.3456,26.8149,27.4614,532.432,5511.06,0.372096,11884,15040,0,100,20.639,1023
11/24/2025 09:33:27.556,1,139.981,27.5163,29.7096,23.3086,26.893,27.5163,531.633,5496.73,0.372645,11885,15040,0,100,20.635,1023
11/24/2025 09:33:28.549,1,139.988,27.5708,29.7621,23.2944,26.9028,27.5708,529.905,5488.29,0.373071,11884,15040,6,100,20.635,1023
11/24/2025 09:33:29.543,1,139.959,27.5631,29.814,23.3792,26.9809,27.5631,529.642,5487.64,0.374551,11884,15040,0,100,20.632,1023
11/24/2025 09:33:30.536,1,139.971,27.591,29.8656,23.3282,27.0103,27.591,529.471,5464.87,0.376485,11885,15040,0,100,20.628,1023
11/24/2025 09:33:31.529,1,139.995,27.6453,29.9178,23.2737,27.0884,27.6453,527.946,5412.59,0.377374,11883,15040,9,100,20.625,1023
11/24/2025 09:33:32.522,1,139.967,27.7,29.9011,23.2771,27.1275,27.7,528.073,5408.35,0.379097,11884,15040,10,100,20.622,1023
11/24/2025 09:33:33.516,1,139.983,27.7553,29.9355,23.1518,27.1861,27.7553,527.994,5352.87,0.380269,11884,15040,0,100,20.618,1023
11/24/2025 09:33:34.509,1,139.967,27.8101,29.9872,23.065,27.235,27.8101,527.981,5311.87,0.38216,11884,15040,0,100,20.616,1023
11/24/2025 09:33:35.502,1,139.98,27.8549,30.0388,23.0292,27.2838,27.8549,527.445,5260.42,0.382738,11882,15104,0,100,20.611,1023
11/24/2025 09:33:36.495,1,139.983,27.8273,30.0902,22.9574,27.362,27.8273,527.244,5192.46,0.383324,11884,15040,9,100,20.606,1023
11/24/2025 09:33:37.489,1,139.985,27.8816,30.142,22.9096,27.3815,27.8816,526.598,5125.51,0.383434,11884,15040,0,100,20.600,1023
11/24/2025 09:33:38.482,1,139.981,27.9358,30.1933,22.9172,27.4108,27.9358,526.768,5065.77,0.383823,11884,15040,0,100,20.594,1023
11/24/2025 09:33:39.475,1,139.965,27.9901,30.1663,22.8986,27.4597,27.9901,526.984,5014.25,0.383134,11884,15040,0,100,20.588,1023
11/24/2025 09:33:40.469,1,139.984,28.0435,30.2088,22.887,27.5183,28.0435,527.968,4955.7,0.382788,11884,15040,0,100,20.583,1023
11/24/2025 09:33:41.462,1,139.988,28.0973,30.2602,22.8158,27.5769,28.0973,527.348,4902.2,0.381759,11884,15040,14,100,20.576,1023
11/24/2025 09:33:42.455,1,139.977,28.1058,30.311,22.7306,27.5965,28.1058,528.075,4876.43,0.380668,11884,15040,14,100,20.569,1023
11/24/2025 09:33:43.448,1,139.973,28.1145,30.3618,22.6677,27.6746,28.1145,528.158,4859.85,0.379362,11885,15040,0,100,20.563,1023
11/24/2025 09:33:44.442,1,139.99,28.1683,30.4127,22.6486,27.7235,28.1683,528.174,4854.23,0.378306,11884,15040,0,100,20.555,1023
11/24/2025 09:33:45.435,1,139.984,28.2211,30.4638,22.6325,27.7723,28.2211,527.549,4858.59,0.377021,11884,14976,0,100,20.549,1023
11/24/2025 09:33:46.428,1,139.983,28.2747,30.513,22.6983,27.7919,28.2747,527.628,4887.05,0.376373,11884,15104,20,100,20.545,1023
