Time Stamp,Inlet Number,P (mbars),T0 (degC),T1 (degC),T2 (degC),T5 (degC),Tgas(degC),CO2 (ppm),H2O (ppm),N2O (ppm),Battery Charge (V),Power Input (mV),Current (mA),SOC (%),TEC Sink Temp (degC),Wall Code
12/01/2025 09:37:47.657,1,139.927,26.0907,28.2793,21.4136,25.3298,26.0907,492.622,6802.57,0.378745,11882,14976,13,100,20.067,1023
12/01/2025 09:37:48.650,1,139.956,26.147,28.334,21.4127,25.3395,26.147,492.794,6858.49,0.378157,11883,15040,17,100,20.059,1023
12/01/2025 09:37:49.643,1,139.977,26.2035,28.3888,21.4118,25.4275,26.2035,491.314,6889.05,0.37728,11881,15040,16,100,20.052,1023
12/01/2025 09:37:50.637,1,139.942,26.2603,28.4413,21.4126,25.4275,26.2603,489.719,6906.43,0.376547,11881,15040,0,100,20.046,1023
12/01/2025 09:37:51.630,1,139.961,26.3168,28.4956,21.4153,25.5252,26.3168,490.852,6995.05,0.377117,11885,15040,0,100,20.038,1023
12/01/2025 09:37:52.623,1,139.971,26.373,28.5487,21.4167,25.5349,26.373,488.855,6981,0.377092,11882,14976,0,100,20.031,1023
12/01/2025 09:37:53.616,1,139.958,26.3647,28.6022,21.4189,25.6229,26.3647,489.476,7071.74,0.377479,11884,14976,0,100,20.023,1023
12/01/2025 09:37:54.610,1,139.966,26.4212,28.5898,21.4209,25.6424,26.4212,489.005,7118.05,0.378114,11883,15040,12,100,20.016,1023
12/01/2025 09:37:55.603,1,139.978,26.4766,28.6423,21.421,25.7206,26.4766,487.595,7116.66,0.37901,11882,15040,11,100,20.009,1023
12/01/2025 09:37:56.596,1,139.955,26.5318,28.6961,21.4195,25.7401,26.5318,487.425,7142.49,0.380282,11883,15040,9,100,20.002,1023
12/01/2025 09:37:57.590,1,139.989,26.588,28.7493,21.4209,25.8183,26.588,486.396,7156.04,0.3817,11883,15040,0,100,19.992,1023
12/01/2025 09:37:58.583,1,139.968,26.6439,28.8023,21.4213,25.8476,26.6439,486.622,7174.74,0.382758,11883,15040,0,100,19.986,1023
12/01/2025 09:37:59.576,1,139.965,26.613,28.8549,21.4225,25.9062,26.613,488.102,7184.39,0.383728,11883,15040,13,100,19.978,1023
12/01/2025 09:38:00.569,1,139.986,26.6684,28.8408,21.4231,25.9257,26.6684,488.916,7177.71,0.384096,11883,15040,9,100,19.970,1023
12/01/2025 09:38:01.563,1,139.966,26.7233,28.8765,21.4268,26.0137,26.7233,488.567,7149.04,0.383585,11882,15040,0,100,19.970,1023
12/01/2025 09:38:02.556,1,139.993,26.7787,28.9292,21.4266,26.043,26.7787,490.571,7160.99,0.38299,11883,15040,12,100,19.962,1023
12/01/2025 09:38:03.549,1,139.99,26.834,28.9815,21.4292,26.1114,26.834,489.603,7100.96,0.382031,11883,15040,12,100,19.954,1023
12/01/2025 09:38:04.543,1,139.977,26.8888,29.034,21.4321,26.1309,26.8888,489.795,7025.38,0.380555,11883,15040,0,100,19.946,1023
12/01/2025 09:38:05.536,1,139.981,26.891,29.0859,21.4331,26.2091,26.891,491.101,6956.55,0.378985,11884,15040,13,100,19.938,1023
12/01/2025 09:38:06.529,1,139.968,26.9112,29.1302,21.4331,26.2091,26.9112,491.776,6875.18,0.377314,11882,15040,0,100,19.929,1023
12/01/2025 09:38:07.522,1,139.984,26.9659,29.1061,21.4353,26.3068,26.9659,492.448,6748.67,0.375714,11882,14976,0,100,19.918,1023
12/01/2025 09:38:08.516,1,139.993,27.0198,29.1581,21.4362,26.3068,27.0198,492.536,6593.23,0.374719,11882,15040,0,100,19.907,1023
12/01/2025 09:38:09.509,1,139.978,27.0314,29.2094,21.4375,26.4045,27.0314,493.762,6471.72,0.37355,11882,15040,13,100,19.897,1023
12/01/2025 09:38:10.502,1,140.007,27.0413,29.2613,21.438,26.4143,27.0413,492.939,6321.1,0.372065,11882,15040,0,100,19.887,1023
12/01/2025 09:38:11.495,1,139.983,27.0965,29.3137,21.4411,26.5022,27.0965,492.267,6204.56,0.370931,11884,15040,0,100,19.876,1023
12/01/2025 09:38:12.489,1,139.969,27.1509,29.3647,21.439,26.5217,27.1509,491.468,6058.16,0.370291,11882,15040,0,100,19.866,1023
12/01/2025 09:38:13.482,1,139.989,27.2052,29.3901,21.4397,26.5999,27.2052,491.522,5989.69,0.370941,11882,14976,15,100,19.855,1023
12/01/2025 09:38:14.475,1,139.988,27.2586,29.3825,21.4398,26.6292,27.2586,489.185,5852.34,0.370561,11883,15040,0,100,19.846,1023
12/01/2025 09:38:15.469,1,139.962,27.3132,29.4334,21.4398,26.6976,27.3132,489.731,5815.81,0.372037,11882,15040,0,100,19.837,1023
12/01/2025 09:38:16.462,1,139.982,27.3074,29.4854,21.4374,26.7465,27.3074,489.857,5780.13,0.373755,11883,15040,0,100,19.824,1023
12/01/2025 09:38:17.455,1,139.997,27.3546,29.5357,21.4389,26.7953,27.3546,489.782,5771.09,0.375257,11883,15040,0,100,19.815,1023
12/01/2025 09:38:18.448,1,139.993,27.4089,29.5869,21.4362,26.8442,27.4089,488.5,5732.31,0.376543,11883,14976,15,100,19.805,1023
12/01/2025 09:38:19.442,1,139.977,27.4619,29.6378,21.4353,26.893,27.4619,488.49,5761.48,0.377858,11882,15040,9,100,19.795,1023
12/01/2025 09:38:20.435,1,139.984,27.515,29.6616,21.4348,26.9614,27.515,487.897,5764.77,0.3793,11882,15040,10,100,19.795,1023
12/01/2025 09:38:21.428,1,139.976,27.5686,29.6719,21.436,26.9907,27.5686,487.263,5741.69,0.380876,11882,15040,0,100,19.784,1023
12/01/2025 09:38:22.422,1,139.978,27.5679,29.7223,21.4356,27.0591,27.5679,487.219,5750,0.38152,11883,15104,12,100,19.774,1023
12/01/2025 09:38:23.415,1,139.983,27.5856,29.7725,21.4348,27.0884,27.5856,487.509,5754.98,0.382237,11883,15104,0,100,19.765,1023
12/01/2025 09:38:24.408,1,140.007,27.6389,29.8228,21.4371,27.1666,27.6389,487.547,5706.97,0.382666,11882,14976,0,100,19.756,1023
12/01/2025 09:38:25.401,1,139.974,27.6918,29.8732,21.4365,27.1861,27.6918,489.046,5705.95,0.382566,11882,15040,0,100,19.750,1023
12/01/2025 09:38:26.395,1,139.98,27.7446,29.9226,21.4361,27.2252,27.7446,492.051,5676.05,0.382383,11883,15040,15,100,19.743,1023
12/01/2025 09:38:27.388,1,140.002,27.7971,29.9039,21.437,27.3131,27.7971,493.52,5639.9,0.382103,11882,15040,0,100,19.737,1023
12/01/2025 09:38:28.381,1,139.996,27.8505,29.9376,21.4365,27.3815,27.8505,495.101,5641.46,0.381331,11882,15040,0,100,19.732,1023
12/01/2025 09:38:29.375,1,139.988,27.822,29.9866,21.4365,27.3815,27.822,495.73,5593.48,0.379853,11882,15040,0,100,19.726,1023
12/01/2025 09:38:30.368,1,139.97,27.8653,30.0361,21.436,27.4402,27.8653,496.39,5585.94,0.378732,11883,14976,17,100,19.721,1023
12/01/2025 09:38:31.361,1,139.989,27.9184,30.0858,21.438,27.4792,27.9184,497.114,5613.83,0.377427,11884,14976,0,100,19.716,1023
12/01/2025 09:38:32.354,1,139.984,27.9708,30.1349,21.4376,27.5476,27.9708,497.679,5625.65,0.376132,11882,15040,0,100,19.711,1023
12/01/2025 09:38:33.348,1,139.989,28.0235,30.1842,21.436,27.5769,28.0235,498.81,5647.1,0.375413,11882,15104,13,100,19.707,1023
12/01/2025 09:38:34.341,1,139.994,28.076,30.1736,21.4384,27.6453,28.076,499.169,5648.86,0.374439,11883,15040,12,100,19.703,1023
12/01/2025 09:38:35.334,1,139.993,28.1279,30.1967,21.4396,27.6746,28.1279,499.526,5680.68,0.373564,11883,15040,12,100,19.698,1023
12/01/2025 09:38:36.327,1,139.967,28.0886,30.2463,21.4435,27.7723,28.0886,501.372,5755.1,0.373452,11882,15040,0,100,19.693,1023
12/01/2025 09:38:37.321,1,139.992,28.1422,30.2952,21.446,27.7723,28.1422,501.609,5806.82,0.373564,11883,15040,0,100,19.689,1023
12/01/2025 09:38:38.314,1,139.991,28.1934,30.3441,21.4464,27.8505,28.1934,500.981,5847.15,0.37395,11882,14976,0,100,19.689,1023
12/01/2025 09:38:39.307,1,139.984,28.2455,30.3929,21.4485,27.8701,28.2455,500.022,5885.42,0.374437,11883,15040,0,100,19.684,1023
12/01/2025 09:38:40.301,1,140.002,28.2979,30.4417,21.4508,27.9482,28.2979,498.314,5912.27,0.373972,11884,15040,13,100,19.678,1023
12/01/2025 09:38:41.294,1,139.974,28.3489,30.4903,21.4511,27.9678,28.3489,497.772,5950.41,0.374958,11882,15040,0,100,19.674,1023
