Time Stamp,Inlet Number,P (mbars),T0 (degC),T1 (degC),T2 (degC),T5 (degC),Tgas(degC),Laser PID Readout,Det PID Readout,win0Fit0,win0Fit1,win0Fit2,win0Fit3,win0Fit4,win0Fit5,win0Fit6,win0Fit7,win0Fit8,win0Fit9,win1Fit0,win1Fit1,win1Fit2,win1Fit3,win1Fit4,win1Fit5,win1Fit6,win1Fit7,win1Fit8,win1Fit9,Det Bkgd,Ramp Ampl,Init Win0 Chi2,Final Win0 Chi2,Init Win1 Chi2,Final Win1 Chi2,Ref Pos,CO2 (ppm)-Wet,CO2 (ppm),H2O (ppm),N2O (ppm)-Wet,N2O (ppm),Battery Charge (V),Power Input (mV),Current (mA),SOC (%),Battery T (degC),FET T (degC),TEC Temp (degC),TEC Sink Temp (degC),TEC Power (W),Wall Code
11/14/2025 09:25:54.663,1,139.927,22.0919,24.2337,18.5107,20.64,22.0919,108609,30130,-2.86544,0.0341461,-5.33829e-05,3.8607e-08,0.0734867,-2.7948,1.02692,0.0222433,-1.73036,0.913913,-12.7007,0.101893,-0.00020652,1.51585e-07,0.0552212,-1.78092,0.829784,0.191286,-2.57778,0.927647,2.5735,5.09509,224.527,0.00158207,163.938,0.00011584,550,542.277,546.426,6203.98,0.373732,0.376595,11883,15040,0,100,17.75,19.25,23.881,16.149,9.673,1023
11/14/2025 09:25:55.657,1,139.955,22.1476,24.2873,18.4849,20.7279,22.1476,108666,30414,-2.87546,0.0342412,-5.3739e-05,3.90114e-08,0.0732467,-2.74734,1.02692,0.0222352,-1.68922,0.913913,-12.8317,0.102795,-0.000208616,1.53181e-07,0.0552921,-1.73648,0.829784,0.188085,-2.45367,0.927647,2.57344,5.09126,0.00276091,0.00157951,0.000870614,0.000113555,550,540.337,544.398,6100,0.373694,0.376508,11884,15040,0,100,17.75,19.35,23.922,16.141,9.681,1023
11/14/2025 09:25:56.650,1,139.917,22.1785,24.3408,18.5089,20.7572,22.1785,108671,30697,-2.88007,0.0342831,-5.38664e-05,3.91388e-08,0.0734546,-2.7443,1.02692,0.0222818,-1.68773,0.913913,-12.8177,0.102618,-0.000208,1.52528e-07,0.0558154,-1.72799,0.829784,0.188222,-2.35104,0.927647,2.57355,5.09098,0.00155667,0.00153967,0.000123886,0.000113013,550,541.778,545.855,6104.32,0.374532,0.377355,11884,15040,0,100,17.65,19.35,23.967,16.131,9.619,1023
11/14/2025 09:25:57.643,1,139.951,22.2096,24.3795,18.5335,20.8354,22.2096,108675,30950,-2.88762,0.0343493,-5.40836e-05,3.93626e-08,0.0736524,-2.75579,1.02692,0.0223304,-1.69845,0.913913,-12.6804,0.101554,-0.00020528,1.5021e-07,0.0561888,-1.73151,0.829784,0.1878,-2.29018,0.927647,2.57344,5.08912,0.00176212,0.00149696,0.000301352,0.000115823,550,543.143,547.223,6090.54,0.375402,0.378227,11882,15040,0,100,17.75,19.35,24.008,16.123,9.615,1023
11/14/2025 09:25:58.637,1,139.948,22.2647,24.377,18.5321,20.8354,22.2647,108735,31234,-2.89799,0.0344499,-5.44193e-05,3.97226e-08,0.0739172,-2.68844,1.02692,0.0223712,-1.6474,0.913913,-12.5206,0.100318,-0.000202115,1.47516e-07,0.0565598,-1.6825,0.829784,0.188998,-2.18382,0.927647,2.57342,5.08801,0.00218875,0.0014851,0.000209956,0.000117435,550,544.928,549.051,6129.2,0.376185,0.379034,11883,15040,0,100,17.75,19.45,24.049,16.115,9.622,1023
11/14/2025 09:25:59.630,1,139.952,22.3203,24.4299,18.5092,20.9233,22.3203,108718,31509,-2.93064,0.0347631,-5.54348e-05,4.07952e-08,0.0740626,-2.70895,1.02692,0.0224008,-1.66372,0.913913,-12.2028,0.0979016,-0.000196029,1.42409e-07,0.0567244,-1.69323,0.829784,0.189336,-2.16464,0.927647,2.57359,5.08607,0.00176731,0.00149529,0.000298881,0.00012189,550,545.831,549.969,6139.98,0.376782,0.379641,11883,15040,0,100,17.75,19.45,24.094,16.109,9.666,1023
11/14/2025 09:26:00.623,1,139.964,22.3035,24.4828,18.5879,20.9624,22.3035,108771,31798,-2.95241,0.0349747,-5.61443e-05,4.15626e-08,0.0740856,-2.66791,1.02692,0.0224083,-1.63365,0.913913,-12.1581,0.097524,-0.000195008,1.41491e-07,0.0569074,-1.66424,0.829784,0.190152,-2.10324,0.927647,2.57336,5.08396,0.00202718,0.00151183,0.00038459,0.000133018,550,546.052,550.21,6166.5,0.376878,0.37975,11882,15040,18,100,17.75,19.45,24.134,16.100,9.705,1023
11/14/2025 09:26:01.616,1,139.957,22.3594,24.5351,18.6633,21.0308,22.3594,108801,32070,-2.96779,0.0351202,-5.66202e-05,4.20649e-08,0.0741109,-2.63419,1.02692,0.0224343,-1.60525,0.913913,-12.2404,0.0980983,-0.000196358,1.42543e-07,0.0570527,-1.63923,0.829784,0.190789,-2.06588,0.927647,2.57345,5.08257,0.00182582,0.00152784,0.000269812,0.00014454,550,546.068,550.241,6186.97,0.377414,0.3803,11884,15040,0,100,17.75,19.45,24.175,16.092,9.716,1023
11/14/2025 09:26:02.610,1,139.951,22.4153,24.5886,18.6153,21.0503,22.4153,108777,32343,-2.96677,0.0351115,-5.65907e-05,4.20324e-08,0.0742311,-2.6705,1.02692,0.0224633,-1.64153,0.913913,-11.9892,0.0961725,-0.000191456,1.38401e-07,0.0572807,-1.6681,0.829784,0.193156,-2.08008,0.927647,2.57375,5.0826,0.00169716,0.00151515,0.00016622,0.000157512,550,546.783,551.015,6263.55,0.378001,0.380929,11883,15104,0,100,17.75,19.55,24.215,16.084,9.690,1023
11/14/2025 09:26:03.603,1,139.985,22.4701,24.6405,18.5623,21.1285,22.4701,108859,32615,-2.94785,0.0349253,-5.60216e-05,4.14452e-08,0.0743264,-2.59433,1.02692,0.0225206,-1.58215,0.913913,-12.2539,0.0981083,-0.000196193,1.42253e-07,0.0574586,-1.61752,0.829784,0.19414,-2.01823,0.927647,2.57362,5.08069,0.00263633,0.00154187,0.00043354,0.000167467,550,547.318,551.576,6295.26,0.379061,0.382013,11883,15104,0,100,17.75,19.55,24.260,16.076,9.656,1023
