DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           NH3                       NH3_30s                   NH3_5min                  H2O                       CO2                       NH3_raw                   NH3_dry                   nh3_base_11               
2025-08-26                09:22:07.842              237.39036855              5697.368845               238.39036855              1756200127.843            0                         899                       1.4011177063E+02          4.3703178406E+01          3.3187500000E+01          4.4993156433E+01          4.4854393005E+01          2.0000000000E+00          0.0000000000E+00          4.3148519531E+04          1.0000000000E+00          2.2113277462E+01          2.2464547424E+01          2.2464547424E+01          1.3164139287E+00          3.8855695100E+02          2.2113277462E+01          2.2113277462E+01          7.0542208202E+02          
2025-08-26                09:22:08.753              237.39037910              5697.369098               238.39037910              1756200128.754            0                         899                       1.4006838243E+02          4.3703178406E+01          3.3187500000E+01          4.4993156433E+01          4.4854393005E+01          2.0000000000E+00          0.0000000000E+00          4.3149942489E+04          1.0000000000E+00          2.2235143223E+01          2.2426313390E+01          2.2426313390E+01          1.3142997232E+00          4.0733379799E+02          2.2235143223E+01          2.2235143223E+01          7.0529893212E+02          
2025-08-26                09:22:09.660              237.39038958              5697.369350               238.39038958              1756200129.660            0                         899                       1.4002687587E+02          4.3719325522E+01          3.3148777174E+01          4.4996729975E+01          4.4857796379E+01          2.0000000000E+00          0.0000000000E+00          4.3146242485E+04          1.0000000000E+00          2.2137335759E+01          2.2385030872E+01          2.2385030872E+01          1.3191300609E+00          3.6590588350E+02          2.2137335759E+01          2.2137335759E+01          7.0552119988E+02          
2025-08-26                09:22:10.562              237.39040003              5697.369601               238.39040003              1756200130.563            0                         899                       1.4001698303E+02          4.3729240417E+01          3.3146399457E+01          4.4998924255E+01          4.4859886169E+01          2.0000000000E+00          0.0000000000E+00          4.3146278745E+04          1.0000000000E+00          2.2048238298E+01          2.2342931800E+01          2.2342931800E+01          1.3190051338E+00          3.8784415269E+02          2.2048238298E+01          2.2048238298E+01          7.0541616375E+02          
2025-08-26                09:22:11.476              237.39041061              5697.369855               238.39041061              1756200131.477            0                         899                       1.4000816876E+02          4.3729240417E+01          3.3187500000E+01          4.4998924255E+01          4.4859886169E+01          2.0000000000E+00          0.0000000000E+00          4.3152852624E+04          1.0000000000E+00          2.2641401218E+01          2.2376095069E+01          2.2376095069E+01          1.3195384398E+00          3.9233470850E+02          2.2641401218E+01          2.2641401218E+01          7.0550809042E+02          
2025-08-26                09:22:12.385              237.39042113              5697.370107               238.39042113              1756200132.386            0                         899                       1.4000857502E+02          4.3729240417E+01          3.3187500000E+01          4.4998924255E+01          4.4859886169E+01          2.0000000000E+00          0.0000000000E+00          4.3157311990E+04          1.0000000000E+00          2.1506848343E+01          2.2289170396E+01          2.2289170396E+01          1.3191559536E+00          3.8160702348E+02          2.1506848343E+01          2.1506848343E+01          7.0533849215E+02          
2025-08-26                09:22:13.292              237.39043163              5697.370359               238.39043163              1756200133.293            0                         899                       1.4003007507E+02          4.3729240417E+01          3.3187500000E+01          4.4998924255E+01          4.4859886169E+01          2.0000000000E+00          0.0000000000E+00          4.3163180664E+04          1.0000000000E+00          2.1597995488E+01          2.2226336313E+01          2.2226336313E+01          1.3130557575E+00          3.8387097679E+02          2.1597995488E+01          2.1597995488E+01          7.0566269154E+02          
2025-08-26                09:22:14.197              237.39044209              5697.370610               238.39044209              1756200134.197            0                         899                       1.4004917593E+02          4.3742008873E+01          3.3157269022E+01          4.5001728887E+01          4.4862498905E+01          2.0000000000E+00          0.0000000000E+00          4.3171032460E+04          1.0000000000E+00          2.2165378948E+01          2.2221256533E+01          2.2221256533E+01          1.3230696602E+00          4.2100651231E+02          2.2165378948E+01          2.2165378948E+01          7.0545826585E+02          
2025-08-26                09:22:15.104              237.39045259              5697.370862               238.39045259              1756200135.104            0                         899                       1.4005670158E+02          4.3755638123E+01          3.3138247283E+01          4.5004722595E+01          4.4865287781E+01          2.0000000000E+00          0.0000000000E+00          4.3175835492E+04          1.0000000000E+00          2.2183600333E+01          2.2218359902E+01          2.2218359902E+01          1.3145437891E+00          4.1163832122E+02          2.2183600333E+01          2.2183600333E+01          7.0532686779E+02          
2025-08-26                09:22:16.007              237.39046306              5697.371113               238.39046306              1756200136.008            0                         899                       1.4003939819E+02          4.3755638123E+01          3.3187500000E+01          4.5004722595E+01          4.4865287781E+01          2.0000000000E+00          0.0000000000E+00          4.3177968750E+04          1.0000000000E+00          2.1799749794E+01          2.2188459180E+01          2.2188459180E+01          1.3284321299E+00          4.0118475800E+02          2.1799749794E+01          2.1799749794E+01          7.0553395795E+02          
