DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           NH3                       NH3_30s                   NH3_5min                  H2O                       CO2                       NH3_raw                   NH3_dry                   nh3_base_11               
2025-08-26                09:35:25.377              237.39959927              5697.590383               238.39959927              1756200925.377            0                         899                       1.4002224864E+02          4.4908808501E+01          3.4187500000E+01          4.5181029278E+01          4.5014591715E+01          2.0000000000E+00          0.0000000000E+00          4.4819736073E+04          1.0000000000E+00          2.4968218334E+01          2.5303347115E+01          2.5303347115E+01          1.3566213928E+00          3.8743844317E+02          2.4968218334E+01          2.4968218334E+01          7.0578772388E+02          
2025-08-26                09:35:26.286              237.39960979              5697.590635               238.39960979              1756200926.286            0                         899                       1.4002400257E+02          4.4909965515E+01          3.4187500000E+01          4.5181114197E+01          4.5014793396E+01          2.0000000000E+00          0.0000000000E+00          4.4820311481E+04          1.0000000000E+00          2.5442084942E+01          2.5326470087E+01          2.5326470087E+01          1.3702351879E+00          3.5356013556E+02          2.5442084942E+01          2.5442084942E+01          7.0563195521E+02          
2025-08-26                09:35:27.196              237.39962032              5697.590888               238.39962032              1756200927.196            0                         899                       1.3999148145E+02          4.4909965515E+01          3.4187500000E+01          4.5181114197E+01          4.5014793396E+01          2.0000000000E+00          0.0000000000E+00          4.4817027747E+04          1.0000000000E+00          2.4895949952E+01          2.5264967210E+01          2.5264967210E+01          1.3781449088E+00          3.6200875483E+02          2.4895949952E+01          2.4895949952E+01          7.0559458277E+02          
2025-08-26                09:35:28.099              237.39963079              5697.591139               238.39963079              1756200928.100            0                         899                       1.4002946472E+02          4.4909965515E+01          3.4187500000E+01          4.5181114197E+01          4.5014793396E+01          2.0000000000E+00          0.0000000000E+00          4.4822667969E+04          1.0000000000E+00          2.5053755397E+01          2.5238565733E+01          2.5238565733E+01          1.3778622436E+00          3.8547320558E+02          2.5053755397E+01          2.5053755397E+01          7.0559529949E+02          
2025-08-26                09:35:29.007              237.39964130              5697.591391               238.39964130              1756200929.008            0                         899                       1.4006775897E+02          4.4909965515E+01          3.4239130435E+01          4.5181114197E+01          4.5014793396E+01          2.0000000000E+00          0.0000000000E+00          4.4830951427E+04          1.0000000000E+00          2.5210508936E+01          2.5235448312E+01          2.5235448312E+01          1.3895864615E+00          3.5425117058E+02          2.5210508936E+01          2.5210508936E+01          7.0575723021E+02          
2025-08-26                09:35:29.924              237.39965191              5697.591646               238.39965191              1756200929.925            0                         899                       1.4007383073E+02          4.4911622586E+01          3.4215013587E+01          4.5181575443E+01          4.5014810479E+01          2.0000000000E+00          0.0000000000E+00          4.4834525539E+04          1.0000000000E+00          2.4786530018E+01          2.5190556482E+01          2.5190556482E+01          1.3619890215E+00          3.7247187502E+02          2.4786530018E+01          2.4786530018E+01          7.0572984820E+02          
2025-08-26                09:35:30.825              237.39966233              5697.591896               238.39966233              1756200930.825            0                         899                       1.3987282413E+02          4.4912925720E+01          3.4187500000E+01          4.5181938171E+01          4.5014823914E+01          2.0000000000E+00          0.0000000000E+00          4.4807388502E+04          1.0000000000E+00          2.5378258825E+01          2.5207620332E+01          2.5207620332E+01          1.3539631883E+00          3.9911277089E+02          2.5378258825E+01          2.5378258825E+01          7.0562247396E+02          
2025-08-26                09:35:31.726              237.39967275              5697.592146               238.39967275              1756200931.726            0                         899                       1.3988273488E+02          4.4912925720E+01          3.4240149457E+01          4.5181938171E+01          4.5014823914E+01          2.0000000000E+00          0.0000000000E+00          4.4792586574E+04          1.0000000000E+00          2.5077306278E+01          2.5196760827E+01          2.5196760827E+01          1.3684023351E+00          3.7920932786E+02          2.5077306278E+01          2.5077306278E+01          7.0567794025E+02          
2025-08-26                09:35:32.628              237.39968321              5697.592397               238.39968321              1756200932.629            0                         899                       1.3990878163E+02          4.4912925720E+01          3.4250000000E+01          4.5181938171E+01          4.5014823914E+01          2.0000000000E+00          0.0000000000E+00          4.4787976860E+04          1.0000000000E+00          2.5425110117E+01          2.5214326157E+01          2.5214326157E+01          1.3799266251E+00          3.4416973835E+02          2.5425110117E+01          2.5425110117E+01          7.0576236711E+02          
2025-08-26                09:35:33.532              237.39969366              5697.592648               238.39969366              1756200933.532            0                         899                       1.3996722727E+02          4.4912925720E+01          3.4250000000E+01          4.5181938171E+01          4.5014823914E+01          2.0000000000E+00          0.0000000000E+00          4.4788140370E+04          1.0000000000E+00          2.5472925276E+01          2.5232797523E+01          2.5232797523E+01          1.3659801176E+00          3.7216168143E+02          2.5472925276E+01          2.5472925276E+01          7.0568948822E+02          
